product_type,name,max_rate,min_term,max_term,condition_first_customer,condition_min_age,description
예금,WON플러스 예금,3.5,6,36,False,19,비대면 가입시 누구나 우대금리를 받을 수 있습니다.
예금,시니어플러스 예금,3.6,12,36,False,50,만 50세 이상 고객님들을 위한 우대 예금입니다.
예금,우리 첫거래 우대 예금,4.0,12,24,True,19,생애 첫 거래 고객에게만 최고 금리를 제공합니다.
예금,장기플랜 예금,3.8,24,60,False,19,2년 이상 장기 거치 고객을 위한 상품입니다.
예금,우리 I M 예금,3.2,6,24,False,19,모바일 전용 간편 예금 상품입니다.
적금,WON하는 적금,4.5,6,36,False,19,우리WON뱅킹 신규 고객 대상 특별 우대 상품입니다.
적금,우리 첫거래 우대 적금,5.0,12,24,True,19,생애 첫 거래 고객에게 최고 금리를 제공합니다.
적금,청년희망 적금,6.0,12,36,False,19,만 19~34세 청년 대상 정책형 상품입니다.
적금,N일 적금 (단기),3.0,1,6,False,19,매일매일 소액 저축 챌린지 상품 (최대 6개월).
적금,우리 SUPER 주거래 적금,4.0,12,36,False,19,급여이체 등 주거래 고객에게 우대 금리를 제공합니다.
