user_id,spend_month,age,gender,region,total_spend,CAT1_교통,CAT1_쇼핑,CAT1_식품,CAT1_교육/문화,CAT1_생활/주거,CAT1_레저/여행,CAT1_자기계발,CAT1_기타 지출,CAT2_대중교통,CAT2_자가용/연료,CAT2_택시/대리,CAT2_항공/기차,CAT2_의류,CAT2_잡화/뷰티,CAT2_명품/쥬얼리,CAT2_전자제품,CAT2_외식/배달,CAT2_가정식/식재료,CAT2_주점/유흥,CAT2_커피/음료,CAT2_사교육/학원,CAT2_도서/음반,CAT2_문화생활/취미,CAT2_온라인강의,CAT2_공과금/통신,CAT2_병원/약국,CAT2_인테리어/가구,CAT2_보험/금융,CAT2_국내여행/숙박,CAT2_해외여행/항공,CAT2_레포츠/취미,CAT2_기타 여가,CAT2_자격증/어학,CAT2_운동/피트니스,CAT2_온라인 구독,CAT2_도구/재료 구매,CAT2_현금서비스,CAT2_경조사/기부,CAT2_해외 직구,CAT2_금융 수수료,cluster
UID_0001,0,45,F,서울,175,46,17,22,19,17,10,29,10,16,11,10,8,3,4,5,4,3,5,9,3,2,4,6,6,2,2,1,11,3,2,1,3,7,7,8,6,2,4,2,1,1
UID_0001,0,45,F,서울,244,24,50,33,36,29,14,29,25,4,5,10,3,17,16,10,6,11,10,5,6,16,4,6,9,7,5,6,8,2,4,7,1,3,14,8,2,4,15,1,3,1
UID_0001,0,45,F,서울,279,28,25,38,30,35,35,44,40,11,0,11,5,4,7,8,6,7,4,9,17,3,11,12,3,7,8,10,7,7,13,3,10,12,10,7,14,7,10,7,14,2
UID_0001,0,45,F,서울,304,3,12,51,15,61,83,47,29,0,1,0,0,1,4,2,3,4,14,13,18,1,6,4,3,18,22,7,12,10,23,39,9,18,7,7,12,9,6,3,9,2
UID_0001,0,45,F,서울,383,61,35,73,30,27,60,54,40,20,27,5,7,9,13,4,7,9,24,19,20,7,2,4,15,2,7,12,4,17,14,16,12,9,22,10,11,8,6,8,17,2
UID_0001,0,45,F,서울,75,7,11,7,7,5,13,11,9,1,1,1,3,3,3,2,3,3,2,0,1,0,0,0,6,1,0,2,0,2,4,4,1,3,2,2,3,2,1,3,2,0
UID_0001,0,45,F,서울,137,15,20,15,18,14,24,19,8,2,1,6,5,6,4,2,5,4,4,2,4,5,5,5,2,2,4,2,5,3,6,6,7,4,7,1,6,1,2,3,1,1
UID_0001,0,45,F,서울,279,40,26,56,33,27,40,26,28,12,12,5,9,5,6,4,9,8,20,8,18,11,3,12,5,11,3,5,6,12,17,6,4,1,14,4,5,7,6,9,4,2
UID_0001,0,45,F,서울,250,24,32,55,30,42,32,19,12,12,1,4,6,10,12,7,0,0,3,45,5,12,3,3,9,15,8,13,5,13,6,6,6,5,4,4,4,2,3,2,3,1
UID_0001,0,45,F,서울,212,30,34,28,12,12,30,23,39,4,5,11,9,10,9,11,2,6,9,8,3,6,0,5,0,2,4,2,4,6,12,5,5,10,3,7,1,7,5,19,6,1
